ENTIDAD,MUN,LOC,AGEB, LUCES , NDVI , ZURBANA , AREA , DENSIDAD , TEMPERATURA ,POBTOT,TOTHOG,VIVTOT,TVIVHAB
15,2,1,228, 60.00 , 0.26 , 0.14 , 1.25 ," 1,757.88 ", 31.46 ,2190,546,667,572
15,2,1,232, 60.50 , 0.26 , 0.14 , 1.37 ," 2,331.32 ", 31.46 ,3201,762,950,811
15,2,1,050A, 60.00 , 0.26 , 0.14 , 0.13 ," 1,101.73 ", 31.46 ,148,33,41,37
15,2,1,514, 62.00 , 0.26 , 0.14 , 0.17 , 186.20 , 31.46 ,32,6,8,6
15,2,5,177, 60.75 , 0.26 , 0.13 , 3.77 ," 1,351.50 ", 31.37 ,5099,1202,1386,1229
15,2,8,036A, 60.00 , 0.22 , 0.16 , 1.08 ," 2,867.71 ", 32.22 ,3098,691,768,711
15,2,8,374, 56.00 , 0.22 , 0.16 , 0.82 , 931.83 , 32.22 ,768,174,211,180
15,2,8,389, 60.00 , 0.22 , 0.16 , 0.13 ," 1,940.86 ", 32.22 ,250,53,73,55
15,2,11,656, 56.00 , 0.26 , 0.14 , 0.58 ," 2,675.53 ", 30.94 ,1553,377,419,392
15,2,11,660, 56.00 , 0.26 , 0.14 , 0.78 ," 1,615.43 ", 31.46 ,1252,286,320,300
15,2,12,181, 60.50 , 0.24 , 0.25 , 1.91 ," 2,679.62 ", 31.65 ,5116,1268,1493,1307
15,2,15,69, 62.00 , 0.20 , 0.52 , 1.12 , 35.61 , 31.07 ,40,12,15,12
15,2,15,73, 62.00 , 0.21 , 0.36 , 0.36 ," 6,102.67 ", 30.88 ,2214,533,579,534
15,2,15,105, 62.00 , 0.23 , 0.29 , 0.31 , 709.77 , 31.71 ,220,44,61,44
15,2,15,011A, 62.00 , 0.23 , 0.29 , 0.54 , 196.19 , 31.71 ,105,23,36,30
15,2,15,124, 62.00 , 0.21 , 0.50 , 1.01 ," 3,496.60 ", 31.24 ,3541,814,965,891
15,2,15,143, 62.00 , 0.17 , 0.58 , 1.82 ," 2,592.73 ", 31.82 ,4723,1086,1345,1215
15,2,15,158, 62.00 , 0.16 , 0.62 , 0.79 ," 5,486.95 ", 32.41 ,4353,966,1201,1016
15,2,15,247, 56.00 , 0.21 , 0.36 , 0.68 ," 3,654.78 ", 30.88 ,2480,591,682,593
15,2,15,251, 56.00 , 0.21 , 0.36 , 0.57 ," 3,685.47 ", 30.88 ,2104,518,570,522
15,2,15,266, 62.00 , 0.21 , 0.36 , 0.57 ," 6,169.83 ", 30.88 ,3499,849,929,850
15,2,15,270, 62.00 , 0.21 , 0.36 , 0.43 ," 6,404.83 ", 30.88 ,2732,639,675,640
15,2,15,285, 62.00 , 0.21 , 0.48 , 1.38 ," 2,689.93 ", 31.29 ,3712,822,1015,910
15,2,15,029A, 62.00 , 0.21 , 0.49 , 1.88 ," 2,191.35 ", 31.27 ,4116,1030,1296,1053
15,2,15,336, 62.00 , 0.23 , 0.29 , 0.97 ," 1,791.84 ", 31.71 ,1732,426,738,432
15,2,15,340, 62.00 , 0.23 , 0.29 , 0.49 ," 3,516.23 ", 31.71 ,1712,455,696,470
15,2,15,355, 56.00 , 0.21 , 0.36 , 0.37 ," 2,236.93 ", 30.88 ,817,199,240,199
15,2,15,410, 62.00 , 0.19 , 0.53 , 0.26 ," 1,605.81 ", 31.23 ,414,92,119,102
