 LUCES , NDVI , ZURBANA , AREA , TEMPERATURA , DENSIDAD 
60,0.26,0.14,1.25,31.46,1758
60.5,0.26,0.14,1.37,31.46,2331
60,0.26,0.14,0.13,31.46,1102
62,0.26,0.14,0.17,31.46,186
60.75,0.26,0.13,3.77,31.37,1352
60,0.22,0.16,1.08,32.22,2868
56,0.22,0.16,0.82,32.22,932
60,0.22,0.16,0.13,32.22,1941
56,0.26,0.14,0.58,30.94,2676
56,0.26,0.14,0.78,31.46,1615
60.5,0.24,0.25,1.91,31.65,2680
62,0.2,0.52,1.12,31.07,36
62,0.21,0.36,0.36,30.88,6103
62,0.23,0.29,0.31,31.71,710
62,0.23,0.29,0.54,31.71,196
62,0.21,0.5,1.01,31.24,3497
62,0.17,0.58,1.82,31.82,2593
62,0.16,0.62,0.79,32.41,5487
56,0.21,0.36,0.68,30.88,3655
56,0.21,0.36,0.57,30.88,3685
62,0.21,0.36,0.57,30.88,6170
62,0.21,0.36,0.43,30.88,6405
62,0.21,0.48,1.38,31.29,2690
62,0.21,0.49,1.88,31.27,2191
62,0.23,0.29,0.97,31.71,1792
62,0.23,0.29,0.49,31.71,3516
56,0.21,0.36,0.37,30.88,2237
62,0.19,0.53,0.26,31.23,1606
62,0.16,0.62,0.17,32.41,7844
62,0.16,0.62,0.45,32.41,12669
60,0.16,0.62,0.43,32.41,18444
62,0.16,0.62,0.17,32.41,9367
62,0.17,0.59,0.89,31.94,4722
60,0.16,0.62,0.37,32.41,11188
62,0.16,0.62,0.12,32.41,11104
62,0.16,0.62,0.24,32.41,13191
60,0.16,0.62,0.22,32.41,11662
60,0.16,0.62,0.2,32.41,7956
60,0.16,0.62,0.2,32.41,8432
60,0.16,0.62,0.29,32.41,9179
61,0.26,0.14,0.85,30.67,2175
10.35,0.27,0.14,11.62,29.31,324
51,0.28,0.13,0.49,28.76,3067
51,0.28,0.13,0.02,28.76, -   
51,0.3,0.12,3.56,27.79,1843
28.85,0.3,0.22,6.55,26.62,615
49.87,0.28,0.14,3.52,27.4,2399
62,0.27,0.14,0.37,27.17,6214
50.22,0.3,0.12,2.14,27.62,2093
22,0.29,0.19,3.71,27.42,852
51,0.29,0.12,1.08,28.17,2924
32,0.28,0.13,0.31,28.76,8740
51,0.28,0.11,0.19,28.08,14910
51,0.28,0.11,0.34,28.08,11322
55,0.28,0.23,1.13,28.03,3735
46,0.28,0.23,0.72,28.03,6117
46,0.28,0.23,0.4,28.03,1719
44,0.31,0.26,1.31,25.77,4237
44.29,0.31,0.26,1.34,25.77,5661
48,0.3,0.28,1.23,26.03,4851
36,0.31,0.26,0.54,25.77,4114
48,0.24,0.38,0.26,27.3,3193
48,0.31,0.26,0.76,25.77,5343
48,0.29,0.3,1.15,26.28,4349
36,0.31,0.26,0.48,25.77,929
22,0.39,0.21,0.56,22.28,4464
22,0.39,0.21,0.44,22.28,4767
57,0.26,0.14,0.4,29.89,1319
