ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,CVEGEO,luces,ndvi,zurbana,Datos,AREA,DENSIDAD,POBTOT,TOTHOG,VIVTOT,TVIVHAB,TEMPERATURA
15,México,2,Acolman,1,Total AGEB urbana,228,1.50E+12,60,0.255233566,0.14135348,1,1.24582106,1757.876849,2190,546,667,572,31.4648
15,México,2,Acolman,1,Total AGEB urbana,232,1.50E+12,60.5,0.255233566,0.14135348,1,1.373041207,2331.321146,3201,762,950,811,31.4648
15,México,2,Acolman,1,Total AGEB urbana,050A,150020001050A,60,0.255233566,0.14135348,1,0.134334125,1101.73048,148,33,41,37,31.4648
15,México,2,Acolman,1,Total AGEB urbana,514,1.50E+12,62,0.255233566,0.14135348,1,0.171859548,186.1985579,32,6,8,6,31.4648
15,México,2,Acolman,5,Total AGEB urbana,177,1.50E+12,60.75,0.259287997,0.127663647,1,3.772855174,1351.496351,5099,1202,1386,1229,31.37389333
15,México,2,Acolman,8,Total AGEB urbana,036A,150020008036A,60,0.217673237,0.164764856,1,1.080304514,2867.709946,3098,691,768,711,32.2176
15,México,2,Acolman,8,Total AGEB urbana,374,1.50E+12,56,0.217673237,0.164764856,1,0.824187443,931.8268639,768,174,211,180,32.2176
15,México,2,Acolman,8,Total AGEB urbana,389,1.50E+12,60,0.217673237,0.164764856,1,0.128808727,1940.862287,250,53,73,55,32.2176
15,México,2,Acolman,11,Total AGEB urbana,656,1.50E+12,56,0.25964403,0.14135348,1,0.580445514,2675.531058,1553,377,419,392,30.9374
15,México,2,Acolman,11,Total AGEB urbana,660,1.50E+12,56,0.255233566,0.14135348,1,0.775026565,1615.428499,1252,286,320,300,31.4648
15,México,2,Acolman,12,Total AGEB urbana,181,1.50E+12,60.5,0.238928589,0.253249809,1,1.909228541,2679.616343,5116,1268,1493,1307,31.65457778
15,México,2,Acolman,15,Total AGEB urbana,69,1.50E+12,62,0.204749914,0.518568,1,1.123234633,35.61143755,40,12,15,12,31.071
15,México,2,Acolman,15,Total AGEB urbana,73,1.50E+12,62,0.206545639,0.358046341,1,0.36279189,6102.672252,2214,533,579,534,30.8798
15,México,2,Acolman,15,Total AGEB urbana,105,1.50E+12,62,0.234270024,0.285220189,1,0.309960253,709.768423,220,44,61,44,31.7088
15,México,2,Acolman,15,Total AGEB urbana,011A,150020015011A,62,0.234270024,0.285220189,1,0.535196168,196.1897457,105,23,36,30,31.7088
15,México,2,Acolman,15,Total AGEB urbana,124,1.50E+12,62,0.210294791,0.504002769,1,1.012699328,3496.595587,3541,814,965,891,31.2368
15,México,2,Acolman,15,Total AGEB urbana,143,1.50E+12,62,0.170776132,0.576527215,1,1.821630674,2592.731922,4723,1086,1345,1215,31.8217
15,México,2,Acolman,15,Total AGEB urbana,158,1.50E+12,62,0.155005918,0.624447889,1,0.793337376,5486.946829,4353,966,1201,1016,32.41
15,México,2,Acolman,15,Total AGEB urbana,247,1.50E+12,56,0.206545639,0.358046341,1,0.678562706,3654.783821,2480,591,682,593,30.8798
15,México,2,Acolman,15,Total AGEB urbana,251,1.50E+12,56,0.206545639,0.358046341,1,0.570889884,3685.474311,2104,518,570,522,30.8798
15,México,2,Acolman,15,Total AGEB urbana,266,1.50E+12,62,0.206545639,0.358046341,1,0.567114278,6169.832317,3499,849,929,850,30.8798
15,México,2,Acolman,15,Total AGEB urbana,270,1.50E+12,62,0.206545639,0.358046341,1,0.426552757,6404.834942,2732,639,675,640,30.8798
15,México,2,Acolman,15,Total AGEB urbana,285,1.50E+12,62,0.212863566,0.480561779,1,1.379963177,2689.92685,3712,822,1015,910,31.28737143
15,México,2,Acolman,15,Total AGEB urbana,029A,150020015029A,62,0.211793243,0.490328858,1,1.878296654,2191.34714,4116,1030,1296,1053,31.2663
15,México,2,Acolman,15,Total AGEB urbana,336,1.50E+12,62,0.234270024,0.285220189,1,0.966605991,1791.836607,1732,426,738,432,31.7088
15,México,2,Acolman,15,Total AGEB urbana,340,1.50E+12,62,0.234270024,0.285220189,1,0.486885388,3516.227932,1712,455,696,470,31.7088
15,México,2,Acolman,15,Total AGEB urbana,355,1.50E+12,56,0.206545639,0.358046341,1,0.365233513,2236.925068,817,199,240,199,30.8798
15,México,2,Acolman,15,Total AGEB urbana,410,1.50E+12,62,0.186546346,0.528606541,1,0.257813217,1605.813717,414,92,119,102,31.2334
15,México,2,Acolman,15,Total AGEB urbana,444,1.50E+12,62,0.155005918,0.624447889,1,0.165094977,7843.969702,1295,308,427,328,32.41
15,México,2,Acolman,15,Total AGEB urbana,459,1.50E+12,62,0.155005918,0.624447889,1,0.446767758,12668.77453,5660,1480,2615,1537,32.41
15,México,2,Acolman,15,Total AGEB urbana,482,1.50E+12,60,0.155005918,0.624447889,1,0.430338602,18443.61617,7937,2061,3583,2224,32.41
15,México,2,Acolman,15,Total AGEB urbana,533,1.50E+12,62,0.155005918,0.624447889,1,0.173046632,9367.417192,1621,362,424,371,32.41
15,México,2,Acolman,15,Total AGEB urbana,548,1.50E+12,62,0.167622089,0.58611135,1,0.889286149,4721.764758,4199,1021,1170,1053,31.93936
15,México,2,Acolman,15,Total AGEB urbana,567,1.50E+12,60,0.155005918,0.624447889,1,0.374153504,11187.92141,4186,1001,1157,1005,32.41
15,México,2,Acolman,15,Total AGEB urbana,571,1.50E+12,62,0.155005918,0.624447889,1,0.122118918,11103.93071,1356,298,374,319,32.41
15,México,2,Acolman,15,Total AGEB urbana,586,1.50E+12,62,0.155005918,0.624447889,1,0.242822045,13190.72985,3203,807,909,808,32.41
15,México,2,Acolman,15,Total AGEB urbana,590,1.50E+12,60,0.155005918,0.624447889,1,0.218401524,11662.00653,2547,608,786,610,32.41
15,México,2,Acolman,15,Total AGEB urbana,603,1.50E+12,60,0.155005918,0.624447889,1,0.196451367,7956.167576,1563,363,446,375,32.41
15,México,2,Acolman,15,Total AGEB urbana,622,1.50E+12,60,0.155005918,0.624447889,1,0.19935468,8432.207369,1681,433,533,433,32.41
15,México,2,Acolman,15,Total AGEB urbana,641,1.50E+12,60,0.155005918,0.624447889,1,0.288147192,9179.336376,2645,628,806,631,32.41
15,México,2,Acolman,16,Total AGEB urbana,209,1.50E+12,61,0.261849263,0.14135348,1,0.851852256,2175.259839,1853,424,499,445,30.6737
15,México,3,Aculco,24,Total AGEB urbana,225,1.50E+12,10.34975369,0.265624581,0.135765822,1,11.62392963,324.3309379,3770,729,841,729,29.30904251
15,México,5,Almoloya de Juárez,1,Total AGEB urbana,164,1.50E+12,51,0.282665586,0.128335595,1,0.491371414,3066.926475,1507,374,446,374,28.755
15,México,5,Almoloya de Juárez,1,Total AGEB urbana,465,1.50E+12,51,0.282665586,0.128335595,1,0.019632465,0,0,0,0,0,28.755
15,México,5,Almoloya de Juárez,4,Total AGEB urbana,215,1.50E+12,51,0.297641264,0.12117341,1,3.559828572,1842.504454,6559,1442,1690,1445,27.7878
15,México,5,Almoloya de Juárez,16,Total AGEB urbana,431,1.50E+12,28.85436893,0.295850475,0.215999572,1,6.548047592,615.4506276,4030,898,1057,901,26.62417477
